,HR,R,RBI,SB,W,SOLD,SO
"Jacob deGrom (TEX)",0,0,0,0,2,0,35
"Reynaldo Lopez (ATL)",0,0,0,0,5,10,90
"Mark Canha (DET)",11,62,52,6,0,0,0
"Taijuan Walker (PHI)",0,0,0,0,10,0,121
"Ryan Noda (OAK)",17,61,55,6,0,0,0
"Michael Conforto (SFG)",14,57,54,2,0,0,0
"Elehuris Montero (COL)",15,49,53,1,0,0,0
"Davis Schneider (TOR)",16,51,50,5,0,0,0
"Anthony Rendon (LAA)",13,54,50,2,0,0,0
"Geraldo Perdomo (ARI)",6,53,32,15,0,0,0
"Bryce Elder (ATL)",0,0,0,0,8,0,91
"Matt Manning (DET)",0,0,0,0,6,0,80
"Ivan Herrera (STL)",5,24,21,2,0,0,0
"Nick Senzel (WSN)",9,42,37,8,0,0,0
"Charlie Blackmon (COL)",10,56,50,3,0,0,0
"Patrick Sandoval (LAA)",0,0,0,0,8,0,138
"Kyle Gibson (STL)",0,0,0,0,10,0,138
"Rowdy Tellez (PIT)",20,47,62,0,0,0,0
"Zach McKinstry (DET)",8,42,35,9,0,0,0
"Brady Singer (KCR)",0,0,0,0,8,0,135
"Joey Ortiz (MIL)",5,34,32,5,0,0,0
"Kyle Hendricks (CHC)",0,0,0,0,8,0,99
"Casey Mize (DET)",0,0,0,0,5,0,75
"Jon Berti (MIA)",5,47,29,23,0,0,0
"Matt Vierling (DET)",8,49,41,10,0,0,0
"Edward Olivares (PIT)",8,43,38,12,0,0,0
"Adam Duvall ()",17,42,51,3,0,0,0
"Keaton Winn (SFG)",0,0,0,0,6,1,106
"Ramon Laureano (CLE)",14,55,54,12,0,0,0
"A.J. Minter (ATL)",0,0,0,0,4,22,76
"Jeff Hoffman (PHI)",0,0,0,0,4,15,76
"Jordan Wicks (CHC)",0,0,0,0,7,0,95
"Mike Clevinger ()",0,0,0,0,6,0,90
"Cavan Biggio (TOR)",10,43,37,6,0,0,0
"Gavin Stone (LAD)",0,0,0,0,3,1,44
"Nick Martinez (CIN)",0,0,0,0,6,5,105
"Chris Martin (BOS)",0,0,0,0,4,19,58
"Jake McCarthy (ARI)",3,33,20,17,0,0,0
"Sawyer Gipson-Long (DET)",0,0,0,0,4,1,66
"Clayton Kershaw (LAD)",0,0,0,0,4,0,55
"Jose Urquidy (HOU)",0,0,0,0,7,1,95
"Michael Kopech (CHW)",0,0,0,0,6,0,124
"Christian Bethancourt (MIA)",10,32,37,3,0,0,0
"Tylor Megill (NYM)",0,0,0,0,6,1,85
"Sean Bouchard (COL)",12,46,42,7,0,0,0
"Marco Luciano (SFG)",12,47,46,4,0,0,0
"Alex Cobb (SFG)",0,0,0,0,6,0,90
"J.D. Davis ()",11,38,38,1,0,0,0
"Miguel Amaya (CHC)",7,25,27,1,0,0,0
"Seth Brown (OAK)",21,55,62,7,0,0,0
"Scott Barlow (CLE)",0,0,0,0,4,16,74
"Hunter Goodman ()",10,31,35,1,0,0,0
"Jason Foley (DET)",0,0,0,0,2,20,50
"Kyle Farmer (MIN)",5,29,28,2,0,0,0
"Nick Fortes (MIA)",8,33,32,5,0,0,0
"Mauricio Dubon (HOU)",7,39,36,6,0,0,0
"Tyler Kinley (COL)",0,0,0,0,2,19,60
"Andrew Nardi (MIA)",0,0,0,0,5,20,80
"Josh Rojas (SEA)",5,34,25,9,0,0,0
"Eddie Rosario (WSN)",10,36,38,5,0,0,0
"Yasmani Grandal (PIT)",6,29,31,0,0,0,0
"Wade Miley (MIL)",0,0,0,0,8,0,89
"Miguel Vargas (LAD)",6,26,25,3,0,0,0
"Tyler Soderstrom (OAK)",9,27,33,1,0,0,0
"Cole Irvin (BAL)",0,0,0,0,4,1,67
"Colton Cowser (BAL)",5,29,24,3,0,0,0
"Brayan Rocchio (CLE)",6,42,38,10,0,0,0
"Kevin Ginkel (ARI)",0,0,0,0,4,20,69
"Luis Matos (SFG)",5,34,29,6,0,0,0
"Drew Waters (KCR)",8,40,31,11,0,0,0
"Matt Strahm (PHI)",0,0,0,0,5,10,77
"Jakob Junis (MIL)",0,0,0,0,5,1,96
"Jorge Mateo (BAL)",5,31,18,20,0,0,0
"Abner Uribe (MIL)",0,0,0,0,3,16,75
