Name,Team,player,HR,R,RBI,SB,OBP,W,SV,HLD,SO,WHIP,ERA,ADP,MinDP,MaxDP,C,1B,2B,3B,SS,INF,OF,UT,P
Cody Bradford,TEX,Cody Bradford (TEX),0,0,0,0,0,4,0,1,54,1.26,4.69,360.8,340,357,0,0,0,0,0,0,0,0,1
Griffin Jax,MIN,Griffin Jax (MIN),0,0,0,0,0,4,8,14,63,1.2,3.91,299.53,143,347,0,0,0,0,0,0,0,0,1
Chad Green,TOR,Chad Green (TOR),0,0,0,0,0,4,2,12,63,1.18,3.89,360.27,322,358,0,0,0,0,0,0,0,0,1
Ryne Nelson,ARI,Ryne Nelson (ARI),0,0,0,0,0,5,0,1,71,1.33,4.67,353.9,277,360,0,0,0,0,0,0,0,0,1
Yimi García,TOR,Yimi Garcia (TOR),0,0,0,0,0,3,6,16,64,1.16,3.82,340.9,207,360,0,0,0,0,0,0,0,0,1
Cole Irvin,BAL,Cole Irvin (BAL),0,0,0,0,0,4,0,1,67,1.28,4.39,358.03,281,360,0,0,0,0,0,0,0,0,1
Adbert Alzolay,CHC,Adbert Alzolay (CHC),0,0,0,0,0,3,27,3,70,1.16,3.56,129.44,98,180,0,0,0,0,0,0,0,0,1
Kevin Ginkel,ARI,Kevin Ginkel (ARI),0,0,0,0,0,4,9,12,69,1.23,3.58,321.07,149,355,0,0,0,0,0,0,0,0,1
Tyler Alexander,TBR,Tyler Alexander (TBR),0,0,0,0,0,4,0,4,59,1.26,4.54,360.96,354,354,0,0,0,0,0,0,0,0,1
Jason Foley,DET,Jason Foley (DET),0,0,0,0,0,2,7,13,50,1.31,3.73,360.89,351,352,0,0,0,0,0,0,0,0,1
Yariel Rodriguez,TOR,Yariel Rodriguez (TOR),0,0,0,0,0,4,0,1,59,1.35,4.15,360.79,324,324,0,0,0,0,0,0,0,0,1
AJ Smith-Shawver,ATL,AJ Smith-Shawver (ATL),0,0,0,0,0,3,0,1,59,1.39,4.63,358,304,360,0,0,0,0,0,0,0,0,1
Colin Poche,TBR,Colin Poche (TBR),0,0,0,0,0,5,3,17,61,1.23,3.79,360.72,327,356,0,0,0,0,0,0,0,0,1
Scott Barlow,CLE,Scott Barlow (CLE),0,0,0,0,0,3,3,13,75,1.26,3.73,360.42,264,356,0,0,0,0,0,0,0,0,1
Kenley Jansen,BOS,Kenley Jansen (BOS),0,0,0,0,0,3,28,1,66,1.25,3.99,145.24,84,204,0,0,0,0,0,0,0,0,1
Brusdar Graterol,LAD,Brusdar Graterol (LAD),0,0,0,0,0,3,5,14,46,1.17,3.25,360.27,292,360,0,0,0,0,0,0,0,0,1
Jeff Hoffman,PHI,Jeff Hoffman (PHI),0,0,0,0,0,4,4,11,74,1.27,3.92,353.69,274,360,0,0,0,0,0,0,0,0,1
Ryan Brasier,LAD,Ryan Brasier (LAD),0,0,0,0,0,3,1,12,57,1.25,4.12,360.81,328,328,0,0,0,0,0,0,0,0,1
Abner Uribe,MIL,Abner Uribe (MIL),0,0,0,0,0,2,8,13,76,1.36,3.49,322.89,196,360,0,0,0,0,0,0,0,0,1
Alexis Díaz,CIN,Alexis Diaz (CIN),0,0,0,0,0,5,30,2,80,1.29,3.86,80.78,61,120,0,0,0,0,0,0,0,0,1
James McArthur,KCR,James McArthur (KCR),0,0,0,0,0,3,10,11,60,1.3,4.16,328.63,235,360,0,0,0,0,0,0,0,0,1
Jonathan Loáisiga,NYY,Jonathan Loaisiga (NYY),0,0,0,0,0,3,4,11,43,1.24,3.74,360.99,359,359,0,0,0,0,0,0,0,0,1
Scott McGough,ARI,Scott McGough (ARI),0,0,0,0,0,3,3,13,64,1.31,4.21,360.89,352,358,0,0,0,0,0,0,0,0,1
Craig Kimbrel,BAL,Craig Kimbrel (BAL),0,0,0,0,0,4,25,3,80,1.22,3.74,111.27,82,157,0,0,0,0,0,0,0,0,1
Orion Kerkering,PHI,Orion Kerkering (PHI),0,0,0,0,0,3,3,9,60,1.24,3.74,354.73,265,360,0,0,0,0,0,0,0,0,1
Tyler Kinley,COL,Tyler Kinley (COL),0,0,0,0,0,2,9,12,60,1.4,4.83,352.4,272,359,0,0,0,0,0,0,0,0,1
Yennier Cano,BAL,Yennier Cano (BAL),0,0,0,0,0,3,10,14,62,1.28,3.69,333.13,217,359,0,0,0,0,0,0,0,0,1
